gemeente,leeftijdsklasse,aantal
Aalst (Aalst),Van 15 tot 19 jaar,5.0
Aalst (Aalst),Van 20 tot 24 jaar,6.0
Aalst (Aalst),Van 25 tot 29 jaar,6.0
Aalter,Van 15 tot 19 jaar,6.0
Aalter,Van 20 tot 24 jaar,6.0
Aalter,Van 25 tot 29 jaar,6.0
Aarlen,Van 15 tot 19 jaar,6.0
Aarlen,Van 20 tot 24 jaar,7.0
Aarlen,Van 25 tot 29 jaar,8.0
Aarschot,Van 15 tot 19 jaar,5.0
Aarschot,Van 20 tot 24 jaar,5.0
Aarschot,Van 25 tot 29 jaar,6.0
Aartselaar,Van 15 tot 19 jaar,6.0
Aartselaar,Van 20 tot 24 jaar,6.0
Aartselaar,Van 25 tot 29 jaar,5.0
Aat,Van 15 tot 19 jaar,6.0
Aat,Van 20 tot 24 jaar,6.0
Aat,Van 25 tot 29 jaar,6.0
Affligem,Van 15 tot 19 jaar,5.0
Affligem,Van 20 tot 24 jaar,5.0
Affligem,Van 25 tot 29 jaar,6.0
Aiseau-Presles,Van 15 tot 19 jaar,7.0
Aiseau-Presles,Van 20 tot 24 jaar,7.0
Aiseau-Presles,Van 25 tot 29 jaar,6.0
Alken,Van 15 tot 19 jaar,6.0
Alken,Van 20 tot 24 jaar,5.0
Alken,Van 25 tot 29 jaar,5.0
Alveringem,Van 15 tot 19 jaar,7.0
Alveringem,Van 20 tot 24 jaar,6.0
Alveringem,Van 25 tot 29 jaar,6.0
Amay,Van 15 tot 19 jaar,6.0
Amay,Van 20 tot 24 jaar,6.0
Amay,Van 25 tot 29 jaar,6.0
Amel,Van 15 tot 19 jaar,7.0
Amel,Van 20 tot 24 jaar,5.0
Amel,Van 25 tot 29 jaar,5.0
Andenne,Van 15 tot 19 jaar,7.0
Andenne,Van 20 tot 24 jaar,6.0
Andenne,Van 25 tot 29 jaar,6.0
Anderlecht,Van 15 tot 19 jaar,6.0
Anderlecht,Van 20 tot 24 jaar,7.0
Anderlecht,Van 25 tot 29 jaar,8.0
Anderlues,Van 15 tot 19 jaar,6.0
Anderlues,Van 20 tot 24 jaar,6.0
Anderlues,Van 25 tot 29 jaar,6.0
Anhée,Van 15 tot 19 jaar,7.0
Anhée,Van 20 tot 24 jaar,6.0
Anhée,Van 25 tot 29 jaar,6.0
Ans,Van 15 tot 19 jaar,6.0
Ans,Van 20 tot 24 jaar,6.0
Ans,Van 25 tot 29 jaar,6.0
Anthisnes,Van 15 tot 19 jaar,7.0
Anthisnes,Van 20 tot 24 jaar,6.0
Anthisnes,Van 25 tot 29 jaar,5.0
Antoing,Van 15 tot 19 jaar,6.0
Antoing,Van 20 tot 24 jaar,6.0
Antoing,Van 25 tot 29 jaar,6.0
Antwerpen,Van 15 tot 19 jaar,5.0
Antwerpen,Van 20 tot 24 jaar,6.0
Antwerpen,Van 25 tot 29 jaar,8.0
Anzegem,Van 15 tot 19 jaar,6.0
Anzegem,Van 20 tot 24 jaar,5.0
Anzegem,Van 25 tot 29 jaar,6.0
Ardooie,Van 15 tot 19 jaar,6.0
Ardooie,Van 20 tot 24 jaar,6.0
Ardooie,Van 25 tot 29 jaar,6.0
Arendonk,Van 15 tot 19 jaar,6.0
Arendonk,Van 20 tot 24 jaar,6.0
Arendonk,Van 25 tot 29 jaar,6.0
As,Van 15 tot 19 jaar,6.0
As,Van 20 tot 24 jaar,5.0
As,Van 25 tot 29 jaar,7.0
Asse,Van 15 tot 19 jaar,6.0
Asse,Van 20 tot 24 jaar,5.0
Asse,Van 25 tot 29 jaar,6.0
Assenede,Van 15 tot 19 jaar,6.0
Assenede,Van 20 tot 24 jaar,5.0
Assenede,Van 25 tot 29 jaar,6.0
Assesse,Van 15 tot 19 jaar,7.0
Assesse,Van 20 tot 24 jaar,6.0
Assesse,Van 25 tot 29 jaar,6.0
Attert,Van 15 tot 19 jaar,7.0
Attert,Van 20 tot 24 jaar,6.0
Attert,Van 25 tot 29 jaar,5.0
Aubange,Van 15 tot 19 jaar,7.0
Aubange,Van 20 tot 24 jaar,6.0
Aubange,Van 25 tot 29 jaar,6.0
Aubel,Van 15 tot 19 jaar,7.0
Aubel,Van 20 tot 24 jaar,7.0
Aubel,Van 25 tot 29 jaar,5.0
Avelgem,Van 15 tot 19 jaar,6.0
Avelgem,Van 20 tot 24 jaar,6.0
Avelgem,Van 25 tot 29 jaar,6.0
Awans,Van 15 tot 19 jaar,7.0
Awans,Van 20 tot 24 jaar,6.0
Awans,Van 25 tot 29 jaar,5.0
Aywaille,Van 15 tot 19 jaar,6.0
Aywaille,Van 20 tot 24 jaar,6.0
Aywaille,Van 25 tot 29 jaar,6.0
Baarle-Hertog,Van 15 tot 19 jaar,6.0
Baarle-Hertog,Van 20 tot 24 jaar,5.0
Baarle-Hertog,Van 25 tot 29 jaar,6.0
Baelen,Van 15 tot 19 jaar,8.0
Baelen,Van 20 tot 24 jaar,6.0
Baelen,Van 25 tot 29 jaar,5.0
Balen,Van 15 tot 19 jaar,6.0
Balen,Van 20 tot 24 jaar,5.0
Balen,Van 25 tot 29 jaar,6.0
Bastenaken,Van 15 tot 19 jaar,7.0
Bastenaken,Van 20 tot 24 jaar,8.0
Bastenaken,Van 25 tot 29 jaar,7.0
Beaumont,Van 15 tot 19 jaar,7.0
Beaumont,Van 20 tot 24 jaar,6.0
Beaumont,Van 25 tot 29 jaar,5.0
Beauraing,Van 15 tot 19 jaar,7.0
Beauraing,Van 20 tot 24 jaar,7.0
Beauraing,Van 25 tot 29 jaar,5.0
Beernem,Van 15 tot 19 jaar,6.0
Beernem,Van 20 tot 24 jaar,6.0
Beernem,Van 25 tot 29 jaar,6.0
Beerse,Van 15 tot 19 jaar,7.0
Beerse,Van 20 tot 24 jaar,6.0
Beerse,Van 25 tot 29 jaar,6.0
Beersel,Van 15 tot 19 jaar,7.0
Beersel,Van 20 tot 24 jaar,6.0
Beersel,Van 25 tot 29 jaar,4.0
Begijnendijk,Van 15 tot 19 jaar,6.0
Begijnendijk,Van 20 tot 24 jaar,6.0
Begijnendijk,Van 25 tot 29 jaar,5.0
Bekkevoort,Van 15 tot 19 jaar,6.0
Bekkevoort,Van 20 tot 24 jaar,5.0
Bekkevoort,Van 25 tot 29 jaar,5.0
Beloeil,Van 15 tot 19 jaar,6.0
Beloeil,Van 20 tot 24 jaar,5.0
Beloeil,Van 25 tot 29 jaar,6.0
Bergen,Van 15 tot 19 jaar,6.0
Bergen,Van 20 tot 24 jaar,7.0
Bergen,Van 25 tot 29 jaar,7.0
Beringen,Van 15 tot 19 jaar,6.0
Beringen,Van 20 tot 24 jaar,6.0
Beringen,Van 25 tot 29 jaar,7.0
Berlaar,Van 15 tot 19 jaar,6.0
Berlaar,Van 20 tot 24 jaar,5.0
Berlaar,Van 25 tot 29 jaar,6.0
Berlare,Van 15 tot 19 jaar,5.0
Berlare,Van 20 tot 24 jaar,5.0
Berlare,Van 25 tot 29 jaar,6.0
Berloz,Van 15 tot 19 jaar,6.0
Berloz,Van 20 tot 24 jaar,5.0
Berloz,Van 25 tot 29 jaar,5.0
Bernissart,Van 15 tot 19 jaar,6.0
Bernissart,Van 20 tot 24 jaar,6.0
Bernissart,Van 25 tot 29 jaar,6.0
Bertem,Van 15 tot 19 jaar,6.0
Bertem,Van 20 tot 24 jaar,5.0
Bertem,Van 25 tot 29 jaar,6.0
Bertogne,Van 15 tot 19 jaar,7.0
Bertogne,Van 20 tot 24 jaar,6.0
Bertogne,Van 25 tot 29 jaar,6.0
Bertrix,Van 15 tot 19 jaar,7.0
Bertrix,Van 20 tot 24 jaar,7.0
Bertrix,Van 25 tot 29 jaar,7.0
Bevekom,Van 15 tot 19 jaar,7.0
Bevekom,Van 20 tot 24 jaar,5.0
Bevekom,Van 25 tot 29 jaar,4.0
Bever,Van 15 tot 19 jaar,7.0
Bever,Van 20 tot 24 jaar,5.0
Bever,Van 25 tot 29 jaar,5.0
Beveren (Sint-Niklaas),Van 15 tot 19 jaar,6.0
Beveren (Sint-Niklaas),Van 20 tot 24 jaar,6.0
Beveren (Sint-Niklaas),Van 25 tot 29 jaar,6.0
Beyne-Heusay,Van 15 tot 19 jaar,7.0
Beyne-Heusay,Van 20 tot 24 jaar,6.0
Beyne-Heusay,Van 25 tot 29 jaar,5.0
Bierbeek,Van 15 tot 19 jaar,6.0
Bierbeek,Van 20 tot 24 jaar,5.0
Bierbeek,Van 25 tot 29 jaar,5.0
Bilzen,Van 15 tot 19 jaar,6.0
Bilzen,Van 20 tot 24 jaar,6.0
Bilzen,Van 25 tot 29 jaar,7.0
Binche,Van 15 tot 19 jaar,6.0
Binche,Van 20 tot 24 jaar,6.0
Binche,Van 25 tot 29 jaar,6.0
Bitsingen,Van 15 tot 19 jaar,6.0
Bitsingen,Van 20 tot 24 jaar,5.0
Bitsingen,Van 25 tot 29 jaar,6.0
Bièvre,Van 15 tot 19 jaar,7.0
Bièvre,Van 20 tot 24 jaar,7.0
Bièvre,Van 25 tot 29 jaar,6.0
Blankenberge,Van 15 tot 19 jaar,5.0
Blankenberge,Van 20 tot 24 jaar,5.0
Blankenberge,Van 25 tot 29 jaar,5.0
Blegny,Van 15 tot 19 jaar,6.0
Blegny,Van 20 tot 24 jaar,6.0
Blegny,Van 25 tot 29 jaar,6.0
Bocholt,Van 15 tot 19 jaar,6.0
Bocholt,Van 20 tot 24 jaar,6.0
Bocholt,Van 25 tot 29 jaar,6.0
Boechout,Van 15 tot 19 jaar,7.0
Boechout,Van 20 tot 24 jaar,6.0
Boechout,Van 25 tot 29 jaar,5.0
Bonheiden,Van 15 tot 19 jaar,6.0
Bonheiden,Van 20 tot 24 jaar,6.0
Bonheiden,Van 25 tot 29 jaar,4.0
Boom,Van 15 tot 19 jaar,6.0
Boom,Van 20 tot 24 jaar,5.0
Boom,Van 25 tot 29 jaar,6.0
Boortmeerbeek,Van 15 tot 19 jaar,6.0
Boortmeerbeek,Van 20 tot 24 jaar,5.0
Boortmeerbeek,Van 25 tot 29 jaar,5.0
Borgloon,Van 15 tot 19 jaar,5.0
Borgloon,Van 20 tot 24 jaar,5.0
Borgloon,Van 25 tot 29 jaar,6.0
