ans_id,V00116092019,V00216092019,V00216092019_o,V00316092019,V00416092019,V00516092019,V00516092019_o,V00616092019,V00716092019,V00716092019_o,ID,Geslacht,Geboren,Leeftijd,Leeftijd7,Leeftijd3N,postcode,Gemeente,Arrondissement,Provincie,Nielsen,REGIO,Taalregime,Kieskring,Urban2,Urban4,Urban5,CIM_New_Habitat,CIM_Stedelijk_Leefcomplex,Zender,Diploma,Diploma3,Diploma2,Beroep,Soc_groep,soc_groep2,Burgerlijke_Stand,Burgerlijke_Stand2,Kinderen,Kinderen2,V010,V011,V012,V013,V014,Migratie,Politiek_stem,Politiek_stem2,Politiek_stem3,Politiek_interesse,Politiek_interesse2,Kennis_actualiteit,Kennis_actualiteit2,VRT_NWS,Nieuwsvolger,V015_1,V015_2,V015_3,V015_4,V015_5,V015_6,V015_7,V015_8,V016_1,V016_2,V016_3,V016_4,V016_5,V016_6,V016_7,V016_8,V016_9,V016_10,V016_11,V017_1,V017_2,V017_3,V017_4,V017_5,V017_6,V017_7,V017_8,V018_1,V018_2,V018_3,V018_4,V018_5,V019_1,V019_2,Type_nieuwskijker,V019_3,V019_4,V019_5,V019_6,V020_1,V020_2,V020_3,V020_4,V020_5,V020_6,V020_7,V021_1,V021_2,V021_3,V021_4,V021_5,V023_1,V023_2,V023_3,V023_4,V023_5,V023_6,V023_7,V023_8,V023_9,Weging,V001,V003,V004,V004C,V006
931,Eerder interessant,Hoe een aanval te werk gaat,niet aangevinkt,Eerder interessant,Eerder goed,Gaat het dan ook niet gokken stimuleren,niet aangevinkt,Heel interessant,,Aangevinkt,1021,Man,2001,18,16-24,16-34,3300,Tienen,Leuven,Vlaams-Brabant,"Antwerpen, Vlaams Brabant, Limburg",Vlaanderen,Nederlands,Leuven,verstedelijkt,steden,Buitenwijk,steden Vlaanderen (VCF),Brussel slaapstad,ROB TV,Lager onderwijs/geen diploma,Hoogstens lager secundair,Hoogstens hoger secundair,Student,2,1-4,Ik heb geen partner en ben alleenstaand,Geen partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,Open Vld,Open vld,Centrum,Eerder wel geïnteresseerd,Interesse,"Weet ik meestal wel ongeveer waar het over gaat, maar ken ik de details niet",Op de hoogte,Minstens wekelijks,Nieuwsvolger,Minstens maandelijks,Minstens maandelijks,Minder dan maandelijks,Minstens maandelijks,Minstens maandelijks,Minstens wekelijks,Minstens wekelijks,Minder dan maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minstens maandelijks,Minstens maandelijks,Minstens wekelijks,Minstens wekelijks,Minder dan maandelijks,Minstens wekelijks,Minstens wekelijks,Nooit,Minstens maandelijks,Minstens maandelijks,Minstens wekelijks,Minstens maandelijks,Nooit,Minstens wekelijks,Nooit,Minstens wekelijks,Minstens wekelijks,Dagelijks,Minstens wekelijks,Minstens wekelijks,Minstens maandelijks,Minstens wekelijks,Minstens wekelijks,Rest,Minder dan maandelijks,Minder dan maandelijks,Minstens maandelijks,Minstens maandelijks,De hele dag door,Nooit,De hele dag door,Nooit,Nooit,De hele dag door,Nooit,Dagelijks,Minder dan maandelijks,Minder dan maandelijks,Nooit,Nooit,Eerder niet belangrijk,Heel erg belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder niet belangrijk,Eerder wel belangrijk,Helemaal niet belangrijk,Eerder niet belangrijk,Eerder wel belangrijk,2.9843860527021215,Interessant,Interessant,Goed,Goed,Interessant
1014,Eerder niet interessant,,Aangevinkt,Heel interessant,Eerder goed,,Aangevinkt,Helemaal niet interessant,,Aangevinkt,1104,Man,2002,17,16-24,16-34,2030,Antwerpen,Antwerpen,Antwerpen,"Antwerpen, Vlaams Brabant, Limburg",Vlaanderen,Nederlands,Antwerpen,verstedelijkt,5 grote centra,Kernstad,Antwerpen (GCA ),Antwerpen kernstad,ATV,Lager middelbaar onderwijs (enkel 3 eerste jaren voltooid),Hoogstens lager secundair,Hoogstens hoger secundair,Student,8,5-8,Ik heb geen partner en ben alleenstaand,Geen partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,Ik had (nog) geen stemrecht,,,Heel erg geïnteresseerd,Interesse,"Kan ik goed meepraten over wat er gebeurd is, ik ben steeds op de hoogte van het laatste nieuws",Op de hoogte,Minder dan wekelijks,Nieuwsvolger,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Dagelijks,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Dagelijks,Dagelijks,Nooit,Nooit,Nooit,Nooit,Rest,Nooit,Nooit,Nooit,Nooit,De hele dag door,Nooit,De hele dag door,Nooit,Minder dan wekelijks,De hele dag door,De hele dag door,Nooit,Nooit,Nooit,Dagelijks,Nooit,Eerder wel belangrijk,Eerder niet belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Eerder wel belangrijk,0.8440812676472887,Niet interessant,Interessant,Goed,Goed,Niet interessant
1117,Eerder interessant,,Aangevinkt,Eerder interessant,Eerder niet goed,,Aangevinkt,Eerder niet interessant,,Aangevinkt,1207,Man,2002,17,16-24,16-34,8650,Houthulst,Diksmuide,West-Vlaanderen,Oost + West Vlaanderen,Vlaanderen,Nederlands,West-Vlaanderen,landelijk,landelijk,Andere gemeenten,landelijk Vlaanderen (CRF),Geen stedelijk leefcomplex,Focus TV,Lager onderwijs/geen diploma,Hoogstens lager secundair,Hoogstens hoger secundair,Student,8,5-8,Ik heb geen partner en ben alleenstaand,Geen partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,Ik had (nog) geen stemrecht,,,Helemaal niet geïnteresseerd,Geen interesse,"Weet ik meestal wel ongeveer waar het over gaat, maar ken ik de details niet",Op de hoogte,Minder dan wekelijks,Nieuwsvolger,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Minder dan maandelijks,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Minder dan maandelijks,Minder dan maandelijks,Nooit,Nooit,Nooit,Nooit,Minder dan maandelijks,Minder dan maandelijks,Dagelijks,Minder dan maandelijks,Minder dan maandelijks,Minstens maandelijks,Nooit,Minder dan maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minder dan maandelijks,Rest,Minder dan maandelijks,Nooit,Nooit,Nooit,Een paar keer per week,Een paar keer per week,Een paar keer per week,Nooit,Nooit,Een paar keer per dag,Een paar keer per week,Nooit,Nooit,Nooit,Nooit,Minder dan maandelijks,Eerder wel belangrijk,Eerder niet belangrijk,Eerder niet belangrijk,Eerder wel belangrijk,Eerder niet belangrijk,Eerder wel belangrijk,Heel erg belangrijk,Eerder wel belangrijk,Eerder niet belangrijk,1.0670093971809307,Interessant,Interessant,Niet goed,Niet goed,Niet interessant
971,Eerder niet interessant,,Aangevinkt,Eerder interessant,Eerder goed,"Ik vind dit een goed idee, maar hopelijk gebeurt het risicovol spelen wel altijd onder toezicht?",niet aangevinkt,Eerder niet interessant,,Aangevinkt,1061,Man,1996,23,16-24,16-34,2221,Heist-op-den-Berg,Mechelen,Antwerpen,"Antwerpen, Vlaams Brabant, Limburg",Vlaanderen,Nederlands,Antwerpen,landelijk,kleine lokaliteiten,Andere gemeenten,kleine lokaliteiten Vlaanderen (PLF),Geen stedelijk leefcomplex,RTV Kempen,Hoger middelbaar technisch onderwijs (TSO),Hoger secundair,Hoogstens hoger secundair,Student,7,5-8,Ik heb geen partner en ben alleenstaand,Geen partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,N-VA,N-VA,Rechts,Eerder wel geïnteresseerd,Interesse,"Weet ik meestal wel ongeveer waar het over gaat, maar ken ik de details niet",Op de hoogte,Minder dan wekelijks,Nieuwsvolger,Nooit,Minstens maandelijks,Nooit,Minstens maandelijks,Nooit,Nooit,Nooit,Minstens wekelijks,Nooit,Minstens wekelijks,Nooit,Nooit,Nooit,Minstens wekelijks,Minstens wekelijks,Nooit,Minstens maandelijks,Minstens wekelijks,Nooit,Nooit,Nooit,Minstens wekelijks,Nooit,Nooit,Minstens wekelijks,Minder dan maandelijks,Nooit,Minstens maandelijks,Minder dan maandelijks,Minstens maandelijks,Minstens maandelijks,Nooit,Minstens wekelijks,Minstens wekelijks,Rest,Nooit,Nooit,Minder dan maandelijks,Nooit,Een paar keer per dag,Minder dan wekelijks,De hele dag door,Minder dan wekelijks,Minder dan wekelijks,Nooit,Een paar keer per week,Dagelijks,Minder dan maandelijks,Minder dan maandelijks,Nooit,Nooit,Eerder wel belangrijk,Eerder niet belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Heel erg belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,2.9843860527021215,Niet interessant,Interessant,Goed,Goed,Niet interessant
975,Eerder interessant,,Aangevinkt,Eerder niet interessant,Eerder goed,,Aangevinkt,Eerder interessant,Wat zegt de wetenschap hierover?,niet aangevinkt,1065,Man,1995,24,16-24,16-34,9700,Oudenaarde,Oudenaarde,Oost-Vlaanderen,Oost + West Vlaanderen,Vlaanderen,Nederlands,Oost-Vlaanderen,verstedelijkt,steden,Andere gemeenten,steden Vlaanderen (VCF),Geen stedelijk leefcomplex,AVS,Hoger middelbaar onderwijs (ASO),Hoger secundair,Hoogstens hoger secundair,Bediende,3,1-4,"Ik heb een partner, maar woon hier niet mee samen",Partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,N-VA,N-VA,Rechts,Eerder wel geïnteresseerd,Interesse,"Kan ik goed meepraten over wat er gebeurd is, ik ben steeds op de hoogte van het laatste nieuws",Op de hoogte,Minder dan wekelijks,Nieuwsvolger,Nooit,Minder dan maandelijks,Nooit,Nooit,Nooit,Minder dan maandelijks,Minstens maandelijks,Minder dan maandelijks,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Minstens maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minstens wekelijks,Minstens maandelijks,Minder dan maandelijks,Nooit,Minder dan maandelijks,Minstens wekelijks,Minstens wekelijks,Minder dan maandelijks,Minstens maandelijks,Nooit,Nooit,Nooit,Rest,Nooit,Nooit,Nooit,Nooit,De hele dag door,Nooit,De hele dag door,Nooit,Nooit,Nooit,De hele dag door,Minstens maandelijks,Minstens wekelijks,Minstens maandelijks,Nooit,Nooit,Eerder wel belangrijk,Heel erg belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,2.9843860527021215,Interessant,Niet interessant,Goed,Goed,Interessant
626,Heel interessant,Opnieuw oliecrisis waarvan de belastingen opnieuw dik gaan van profiteren,niet aangevinkt,Heel interessant,Heel goed,Hopelijk wel onder begeleiding,niet aangevinkt,Heel interessant,Hopelijk diepgaande onderzoeken naar deze producten,niet aangevinkt,679,Man,2001,18,16-24,16-34,2960,Brecht,Antwerpen,Antwerpen,"Antwerpen, Vlaams Brabant, Limburg",Vlaanderen,Nederlands,Antwerpen,landelijk,kleine lokaliteiten,Slaapstad,kleine lokaliteiten Vlaanderen (PLF),Antwerpen buitenwijk,ATV,Hoger middelbaar beroepsonderwijs (BSO),Hoger secundair,Hoogstens hoger secundair,Bediende,4,1-4,Ik heb geen partner en ben alleenstaand,Geen partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,Vlaams Belang,Vlaams Belang,Rechts,Eerder wel geïnteresseerd,Interesse,"Kan ik goed meepraten over wat er gebeurd is, ik ben steeds op de hoogte van het laatste nieuws",Op de hoogte,Minstens wekelijks,Nieuwsvolger,Minder dan maandelijks,Nooit,Nooit,Minder dan maandelijks,Minder dan maandelijks,Minstens maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minstens wekelijks,Dagelijks,Nooit,Dagelijks,Minstens wekelijks,Dagelijks,Dagelijks,Minstens wekelijks,Dagelijks,Minstens wekelijks,Nooit,Dagelijks,Minder dan maandelijks,Minstens wekelijks,Minder dan maandelijks,Dagelijks,Minstens wekelijks,Nooit,Minstens maandelijks,Dagelijks,Dagelijks,Dagelijks,Minstens wekelijks,Minstens maandelijks,Dagelijks,Dagelijks,Rest,Minstens wekelijks,Minstens wekelijks,Nooit,Minstens maandelijks,Een paar keer per week,Nooit,Nooit,Nooit,Nooit,Nooit,De hele dag door,Dagelijks,Dagelijks,Minstens wekelijks,Minstens wekelijks,Dagelijks,Heel erg belangrijk,Heel erg belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Heel erg belangrijk,Eerder wel belangrijk,Heel erg belangrijk,Eerder wel belangrijk,2.9843860527021215,Interessant,Interessant,Goed,Goed,Interessant
792,Helemaal niet interessant,,Aangevinkt,Eerder niet interessant,Eerder niet goed,,Aangevinkt,Heel interessant,,Aangevinkt,860,Man,2000,19,16-24,16-34,3830,Wellen,Tongeren,Limburg,"Antwerpen, Vlaams Brabant, Limburg",Vlaanderen,Nederlands,Limburg,landelijk,landelijk,Buitenwijk,landelijk Vlaanderen (CRF),Hasselt-Genk slaapstad,TV-Limburg,Hoger middelbaar onderwijs (ASO),Hoger secundair,Hoogstens hoger secundair,Student,7,5-8,"Ik heb een partner, maar woon hier niet mee samen",Partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,Vlaams Belang,Vlaams Belang,Rechts,Helemaal niet geïnteresseerd,Geen interesse,"Weet ik meestal wel ongeveer waar het over gaat, maar ken ik de details niet",Op de hoogte,Minder dan wekelijks,Nieuwsvolger,Nooit,Nooit,Nooit,Nooit,Minstens maandelijks,Nooit,Nooit,Nooit,Minstens wekelijks,Nooit,Nooit,Minstens wekelijks,Minstens wekelijks,Minstens wekelijks,Minstens wekelijks,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Minstens wekelijks,Nooit,Nooit,Dagelijks,Minstens wekelijks,Minstens wekelijks,Minstens wekelijks,Nooit,Nooit,Nooit,Rest,Nooit,Nooit,Nooit,Nooit,Een paar keer per dag,Nooit,Minder dan wekelijks,Nooit,Nooit,Een paar keer per dag,Een paar keer per dag,Nooit,Nooit,Nooit,Nooit,Nooit,Eerder niet belangrijk,Helemaal niet belangrijk,Helemaal niet belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,2.9843860527021215,Niet interessant,Niet interessant,Niet goed,Niet goed,Interessant
564,Eerder interessant,Hoe zeker Trump is en kan zijn over de daders.,niet aangevinkt,Heel interessant,Heel goed,"Waarom dit niet veel eerder erkend werd, het lijkt mij iets evident.",niet aangevinkt,Eerder interessant,,Aangevinkt,614,Man,1996,23,16-24,16-34,9240,Zele,Dendermonde,Oost-Vlaanderen,Oost + West Vlaanderen,Vlaanderen,Nederlands,Oost-Vlaanderen,landelijk,kleine lokaliteiten,Andere gemeenten,kleine lokaliteiten Vlaanderen (PLF),Geen stedelijk leefcomplex,TV Oost,Hoger middelbaar technisch onderwijs (TSO),Hoger secundair,Hoogstens hoger secundair,Student,7,5-8,"Ik heb een partner, maar woon hier niet mee samen",Partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,Blanco/ongeldig,Blanco/ongeldig,,Eerder niet geïnteresseerd,Geen interesse,"Weet ik meestal wel ongeveer waar het over gaat, maar ken ik de details niet",Op de hoogte,Minstens wekelijks,Nieuwsvolger,Nooit,Nooit,Nooit,Nooit,Nooit,Minstens maandelijks,Nooit,Minstens maandelijks,Minstens maandelijks,Minder dan maandelijks,Minder dan maandelijks,Minstens maandelijks,Minder dan maandelijks,Minstens wekelijks,Minstens maandelijks,Minstens wekelijks,Dagelijks,Minstens wekelijks,Minstens wekelijks,Nooit,Minstens wekelijks,Dagelijks,Minder dan maandelijks,Minstens maandelijks,Dagelijks,Nooit,Minder dan maandelijks,Minstens wekelijks,Minder dan maandelijks,Minstens wekelijks,Minstens maandelijks,Minstens maandelijks,Minstens wekelijks,Minstens wekelijks,Rest,Minder dan maandelijks,Nooit,Minder dan maandelijks,Minstens maandelijks,Een paar keer per dag,Minder dan wekelijks,Een paar keer per week,Minder dan wekelijks,Nooit,Een paar keer per dag,Een paar keer per dag,Minstens wekelijks,Minstens wekelijks,Minstens wekelijks,Minder dan maandelijks,Nooit,Eerder wel belangrijk,Eerder niet belangrijk,Eerder wel belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Eerder niet belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,2.2089508811291054,Interessant,Interessant,Goed,Goed,Interessant
399,Eerder interessant,,Aangevinkt,Eerder interessant,Eerder goed,,Aangevinkt,Eerder niet interessant,,Aangevinkt,437,Man,1996,23,16-24,16-34,2970,Schilde,Antwerpen,Antwerpen,"Antwerpen, Vlaams Brabant, Limburg",Vlaanderen,Nederlands,Antwerpen,landelijk,kleine lokaliteiten,Slaapstad,kleine lokaliteiten Vlaanderen (PLF),Antwerpen buitenwijk,ATV,Academische master (universitair onderwijs),Hoger onderwijs,Hoger onderwijs,Bediende,2,1-4,"Ik heb een partner, maar woon hier niet mee samen",Partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,N-VA,N-VA,Rechts,Heel erg geïnteresseerd,Interesse,"Kan ik goed meepraten over wat er gebeurd is, ik ben steeds op de hoogte van het laatste nieuws",Op de hoogte,Minder dan wekelijks,Nieuwsvolger,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Dagelijks,Dagelijks,Minder dan maandelijks,Dagelijks,Minder dan maandelijks,Dagelijks,Dagelijks,Minder dan maandelijks,Minstens maandelijks,Dagelijks,Minder dan maandelijks,Minder dan maandelijks,Nooit,Minstens wekelijks,Minstens wekelijks,Minstens wekelijks,Minstens wekelijks,Nooit,Minstens maandelijks,Minstens maandelijks,Minstens wekelijks,Dagelijks,Dagelijks,Minstens maandelijks,Minstens wekelijks,Nooit,VTM,Nooit,Nooit,Minstens maandelijks,Minder dan maandelijks,De hele dag door,Nooit,De hele dag door,De hele dag door,Nooit,De hele dag door,De hele dag door,Nooit,Minstens maandelijks,Minstens maandelijks,Nooit,Nooit,Heel erg belangrijk,Eerder niet belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Eerder wel belangrijk,Eerder wel belangrijk,Heel erg belangrijk,Eerder wel belangrijk,2.9843860527021215,Interessant,Interessant,Goed,Goed,Niet interessant
94,Eerder interessant,Geen,niet aangevinkt,Eerder interessant,Heel goed,Welke leeftijd,niet aangevinkt,Eerder interessant,Geen,niet aangevinkt,101,Man,1995,24,16-24,16-34,3000,Leuven,Leuven,Vlaams-Brabant,"Antwerpen, Vlaams Brabant, Limburg",Vlaanderen,Nederlands,Leuven,verstedelijkt,steden,Kernstad,steden Vlaanderen (VCF),Leuven kernstad,ROB TV,Academische master (universitair onderwijs),Hoger onderwijs,Hoger onderwijs,Bediende,2,1-4,Ik ben feitelijk samenwonend,Partner,"Nee, ik heb geen kinderen",Geen kinderen,Ja,99999,Nee,99999,99999,Niet,N-VA,N-VA,Rechts,Heel erg geïnteresseerd,Interesse,"Kan ik goed meepraten over wat er gebeurd is, ik ben steeds op de hoogte van het laatste nieuws",Op de hoogte,Minder dan wekelijks,Nieuwsvolger,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Dagelijks,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Nooit,Dagelijks,Nooit,Nooit,Nooit,Nooit,Minstens wekelijks,Minstens wekelijks,Minstens wekelijks,Minstens wekelijks,Nooit,Nooit,Nooit,Rest,Nooit,Nooit,Nooit,Nooit,De hele dag door,Nooit,Nooit,De hele dag door,Nooit,De hele dag door,Nooit,Dagelijks,Nooit,Nooit,Nooit,Nooit,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,Heel erg belangrijk,2.9843860527021215,Interessant,Interessant,Goed,Goed,Interessant
