datum,onderwerp,antwoord
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Heel interessant
9/16/2019,drone-aanval saudi arabie,Helemaal niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Heel interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Weet niet/geen mening
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Heel interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Weet niet/geen mening
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Eerder interessant
9/16/2019,drone-aanval saudi arabie,Eerder niet interessant
9/16/2019,drone-aanval saudi arabie,Helemaal niet interessant
9/16/2019,drone-aanval saudi arabie,Helemaal niet interessant
9/16/2019,drone-aanval saudi arabie,Heel interessant
