datum,onderwerp,reden,aantal,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Dit nieuws heeft een invloed op mijn leven,47,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Het nieuws gebeurt dichtbij waar ik woon,32,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Dit nieuws raakt mij persoonlijk,45,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Ik vind dat dit belangrijk nieuws is voor veel mensen,451,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Ik leer er iets door bij,89,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Ik ben zelf al veel bezig met dit onderwerp,30,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,183,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Ik vind het ontspannend om dit nieuws te volgen,24,,,,,,,,,,,,,
9/23/2019,failissement thomas cook,Andere,29,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Dit nieuws heeft een invloed op mijn leven,68,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Het nieuws gebeurt dichtbij waar ik woon,25,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Dit nieuws raakt mij persoonlijk,71,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Ik vind dat dit belangrijk nieuws is voor veel mensen,399,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Ik leer er iets door bij,167,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Ik ben zelf al veel bezig met dit onderwerp,74,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,171,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Ik vind het ontspannend om dit nieuws te volgen,33,,,,,,,,,,,,,
9/23/2019,secundaire resultaten ku leuven,Andere,35,,,,,,,,,,,,,
9/23/2019,knie-operaties,Dit nieuws heeft een invloed op mijn leven,80,,,,,,,,,,,,,
9/23/2019,knie-operaties,Het nieuws gebeurt dichtbij waar ik woon,27,,,,,,,,,,,,,
9/23/2019,knie-operaties,Dit nieuws raakt mij persoonlijk,121,,,,,,,,,,,,,
9/23/2019,knie-operaties,Ik vind dat dit belangrijk nieuws is voor veel mensen,295,,,,,,,,,,,,,
9/23/2019,knie-operaties,Ik leer er iets door bij,274,,,,,,,,,,,,,
9/23/2019,knie-operaties,Ik ben zelf al veel bezig met dit onderwerp,102,,,,,,,,,,,,,
9/23/2019,knie-operaties,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,133,,,,,,,,,,,,,
9/23/2019,knie-operaties,Ik vind het ontspannend om dit nieuws te volgen,26,,,,,,,,,,,,,Spannend
9/23/2019,knie-operaties,Andere,16,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Dit nieuws heeft een invloed op mijn leven,165,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Het nieuws gebeurt dichtbij waar ik woon,33,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Dit nieuws raakt mij persoonlijk,30,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Ik vind dat dit belangrijk nieuws is voor veel mensen,283,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Ik leer er iets door bij,117,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Ik ben zelf al veel bezig met dit onderwerp,123,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,127,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Ik vind het ontspannend om dit nieuws te volgen,22,,,,,,,,,,,,,
9/24/2019,charles michel klimaattop vn,Andere,23,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Dit nieuws heeft een invloed op mijn leven,93,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Het nieuws gebeurt dichtbij waar ik woon,40,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Dit nieuws raakt mij persoonlijk,188,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Ik vind dat dit belangrijk nieuws is voor veel mensen,547,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Ik leer er iets door bij,198,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Ik ben zelf al veel bezig met dit onderwerp,74,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,182,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Ik vind het ontspannend om dit nieuws te volgen,26,,,,,,,,,,,,,
9/24/2019,voorstel terugbetaling dure geneesmiddelen,Andere,22,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Dit nieuws heeft een invloed op mijn leven,89,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Het nieuws gebeurt dichtbij waar ik woon,19,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Dit nieuws raakt mij persoonlijk,11,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Ik vind dat dit belangrijk nieuws is voor veel mensen,319,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Ik leer er iets door bij,165,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Ik ben zelf al veel bezig met dit onderwerp,92,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,165,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Ik vind het ontspannend om dit nieuws te volgen,43,,,,,,,,,,,,,
9/25/2019,sluiting brits parlement onwettig,Andere,19,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Dit nieuws heeft een invloed op mijn leven,64,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Het nieuws gebeurt dichtbij waar ik woon,88,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Dit nieuws raakt mij persoonlijk,220,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Ik vind dat dit belangrijk nieuws is voor veel mensen,340,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Ik leer er iets door bij,166,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Ik ben zelf al veel bezig met dit onderwerp,116,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,106,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Ik vind het ontspannend om dit nieuws te volgen,10,,,,,,,,,,,,,
9/25/2019,psychische problemen bij jongeren,Andere,16,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Dit nieuws heeft een invloed op mijn leven,42,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Het nieuws gebeurt dichtbij waar ik woon,5,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Dit nieuws raakt mij persoonlijk,14,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Ik vind dat dit belangrijk nieuws is voor veel mensen,332,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Ik leer er iets door bij,124,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Ik ben zelf al veel bezig met dit onderwerp,52,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,191,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Ik vind het ontspannend om dit nieuws te volgen,49,,,,,,,,,,,,,
9/25/2019,impeachment procedure tegen trump,Andere,12,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Dit nieuws heeft een invloed op mijn leven,32,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Het nieuws gebeurt dichtbij waar ik woon,95,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Dit nieuws raakt mij persoonlijk,96,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Ik vind dat dit belangrijk nieuws is voor veel mensen,497,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Ik leer er iets door bij,89,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Ik ben zelf al veel bezig met dit onderwerp,22,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,136,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Ik vind het ontspannend om dit nieuws te volgen,14,,,,,,,,,,,,,
9/26/2019,onvoorzichtig gedrag op spoorwegen,Andere,23,,,,,,,,,,,,,
9/26/2019,vakbonden bezorgd over sociale zekerheid,Dit nieuws heeft een invloed op mijn leven,400,,,,,,,,,,,,,
9/26/2019,vakbonden bezorgd over sociale zekerheid,Het nieuws gebeurt dichtbij waar ik woon,66,,,,,,,,,,,,,
9/26/2019,vakbonden bezorgd over sociale zekerheid,Dit nieuws raakt mij persoonlijk,77,,,,,,,,,,,,,Ik had geen idee dat dit ging gebeuren
9/26/2019,vakbonden bezorgd over sociale zekerheid,Ik vind dat dit belangrijk nieuws is voor veel mensen,453,,,,,,,,,,,,,
9/26/2019,vakbonden bezorgd over sociale zekerheid,Ik leer er iets door bij,134,,,,,,,,,,,,,
9/26/2019,vakbonden bezorgd over sociale zekerheid,Ik ben zelf al veel bezig met dit onderwerp,153,,,,,,,,,,,,,
9/26/2019,vakbonden bezorgd over sociale zekerheid,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,178,,,,,,,,,,,,,
9/26/2019,vakbonden bezorgd over sociale zekerheid,Ik vind het ontspannend om dit nieuws te volgen,17,,,,,,,,,,,,,
9/26/2019,vakbonden bezorgd over sociale zekerheid,Andere,3,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Dit nieuws heeft een invloed op mijn leven,10,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Het nieuws gebeurt dichtbij waar ik woon,4,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Dit nieuws raakt mij persoonlijk,17,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Ik vind dat dit belangrijk nieuws is voor veel mensen,121,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Ik leer er iets door bij,129,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Ik ben zelf al veel bezig met dit onderwerp,38,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,94,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Ik vind het ontspannend om dit nieuws te volgen,10,,,,,,,,,,,,,
9/26/2019,regeringsvorming israel,Andere,14,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Dit nieuws heeft een invloed op mijn leven,295,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Het nieuws gebeurt dichtbij waar ik woon,75,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Dit nieuws raakt mij persoonlijk,12,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Ik vind dat dit belangrijk nieuws is voor veel mensen,388,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Ik leer er iets door bij,90,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Ik ben zelf al veel bezig met dit onderwerp,109,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,218,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Ik vind het ontspannend om dit nieuws te volgen,34,,,,,,,,,,,,,
9/27/2019,vlaams regeerakkoord verwacht,Andere,9,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Dit nieuws heeft een invloed op mijn leven,52,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Het nieuws gebeurt dichtbij waar ik woon,57,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Dit nieuws raakt mij persoonlijk,16,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Ik vind dat dit belangrijk nieuws is voor veel mensen,194,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Ik leer er iets door bij,60,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Ik ben zelf al veel bezig met dit onderwerp,21,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Ik wil dit weten zodat ik hierover kan meepraten met andere mensen,157,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Ik vind het ontspannend om dit nieuws te volgen,88,,,,,,,,,,,,,
9/27/2019,overlast cafes leuven,Andere,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ik ben zelf gedupeerde geweest bij Travel Bird
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
