year,words,count
1992,de,2278
1992,van,1221
1992,en,918
1992,het,873
1992,,630
1992,een,609
1992,worden,514
1992,in,493
1992,zal,448
1992,vlaamse,398
1992,op,314
1992,voor,297
1992,te,294
1992,met,243
1992,regering,237
1992,aan,170
1992,zullen,144
1992,om,135
1992,die,131
1992,door,123
1992,beleid,115
1992,bij,100
1992,moet,95
1992,inzake,95
1992,dit,90
1992,1,88
1992,dat,83
1992,is,83
1992,tot,83
1992,zijn,79
1992,deze,70
1992,naar,69
1992,onderwijs,62
1992,als,61
1992,er,61
1992,meer,56
1992,dient,56
1992,wordt,54
1992,tussen,54
1992,vlaams,54
1992,raad,53
1992,haar,49
1992,gemeenschap,49
1992,1992,48
1992,alle,48
1992,ook,47
1992,10,46
1992,moeten,46
1992,basis,46
1992,sociale,45
1992,overheid,45
1992,vlaanderen,42
1992,nieuwe,42
1992,ten,39
1992,verder,39
1992,bz,38
1992,nr,38
1992,kader,38
1992,via,37
1992,aandacht,37
1992,zich,36
1992,overleg,35
1992,samenwerking,33
1992,burger,33
1992,middelen,33
1992,maken,32
1992,grote,32
1992,kunnen,32
1992,nationale,32
1992,bijzonder,32
1992,onderzoek,32
1992,binnen,32
1992,brussel,31
1992,vlak,30
1992,dienen,30
1992,uit,29
1992,bijzondere,29
1992,integratie,29
1992,bestaande,28
1992,onder,28
1992,heeft,27
1992,zowel,27
1992,hierbij,27
1992,kan,27
1992,maatregelen,27
1992,ter,26
1992,over,26
1992,werking,26
1992,tevens,26
1992,economische,25
1992,betrokken,25
1992,nodige,25
1992,oog,25
1992,mogelijk,24
1992,financiële,24
1992,europese,24
1992,zij,24
1992,maatschappelijke,24
1992,specifieke,24
1992,decreet,24
1992,termijn,24
1992,hun,24
1992,of,23
1992,initiatieven,23
1992,instellingen,22
1992,administratie,22
1992,rol,21
1992,krijgen,21
1992,sociaal,21
1992,uitvoering,21
1992,wijze,21
1992,zoals,21
1992,tegen,21
1992,waarbij,21
1992,eigen,20
1992,voeren,20
1992,niet,20
1992,internationale,20
1992,genomen,20
1992,diverse,20
1992,fonds,20
1992,daarbij,19
1992,wil,19
1992,dienst,19
1992,uitgewerkt,18
1992,nemen,18
1992,geïntegreerd,18
1992,toe,17
1992,culturele,17
1992,geven,17
1992,voorzieningen,17
1992,sector,17
1992,voorrang,17
1992,besteed,17
1992,3,17
1992,2,17
1992,beroepsopleiding,17
1992,ervan,16
1992,ontwikkeling,16
1992,plaats,16
1992,preventie,16
1992,initiatief,16
1992,uitbouw,16
1992,migranten,16
1992,andere,16
1992,betere,16
1992,korte,16
1992,lokale,16
1992,betrekking,16
1992,gaan,16
1992,verschillende,16
1992,prioriteiten,15
1992,belangrijke,15
1992,vanuit,15
1992,belang,15
1992,vlamingen,15
1992,eerste,15
1992,hebben,15
1992,groepen,15
1992,voortgezet,15
1992,milieu,15
1992,gewesten,15
1992,wat,15
1992,komen,15
1992,arbeidsbemiddeling,15
1992,zelf,14
1992,programma,14
1992,1991,14
1992,vooral,14
1992,bevoegdheden,14
1992,onze,14
1992,beter,14
1992,concrete,14
1992,vrouwen,14
1992,kwaliteit,14
1992,aangepaste,14
1992,gemeenten,14
1992,voorzien,14
1992,tewerkstelling,14
1992,regionale,14
1992,aangepast,14
1992,wetenschapsbeleid,14
1992,gemeenschappen,14
1992,wetenschappelijk,14
1992,na,13
1992,brengen,13
1992,problemen,13
1992,verdere,13
1992,opdracht,13
1992,verbeteren,13
1992,elke,13
1992,inspanningen,13
1992,bevorderen,13
1992,coördinatie,13
1992,ruimtelijke,13
1992,ordening,13
1992,blijft,13
1992,geëvalueerd,13
1992,rekening,13
1992,evaluatie,13
1992,jongeren,13
1992,ondersteuning,13
1992,investeringen,13
1992,samenleving,12
1992,nog,12
1992,leefmilieu,12
1992,stellen,12
1992,gerealiseerd,12
1992,doen,12
1992,grotere,12
1992,aanpak,12
1992,bestuur,12
1992,ze,12
1992,acties,12
1992,versterkt,12
1992,huisvesting,12
1992,tijdens,12
1992,gericht,12
1992,gevoerd,12
1992,daartoe,12
1992,cultuurbeleid,12
1992,cultuur,12
1992,actief,12
1992,commissie,12
1992,zo,12
1992,infrastructuur,12
1992,ondersteunen,12
1992,aanzien,12
1992,gesteld,12
1992,begroting,12
1992,waar,11
1992,werken,11
1992,krachtlijnen,11
1992,autonomie,11
1992,staat,11
1992,verantwoordelijkheid,11
1992,dan,11
1992,nieuw,11
1992,economisch,11
1992,geen,11
1992,blijven,11
1992,ambtenaren,11
1992,strijd,11
1992,dienstverlening,11
1992,uitgebouwd,11
1992,opgezet,11
1992,opleiding,11
1992,gecoördineerd,11
1992,georganiseerd,11
1992,hiertoe,11
1992,goed,11
1992,regeling,11
1992,verhogen,11
1992,voldoende,11
1992,economie,11
1992,administratieve,11
1992,stand,11
1992,diensten,11
1992,actieve,11
1992,gebruik,11
1992,budgettaire,11
1992,leerkrachten,11
1992,opgesteld,10
1992,al,10
1992,kansarmoede,10
1992,nodig,10
1992,bevoegdheid,10
1992,vertegenwoordiging,10
1992,gemaakt,10
1992,versterking,10
1992,algemene,10
1992,ondersteund,10
1992,mogelijkheden,10
1992,zelfstandig,10
1992,prioritair,10
1992,middel,10
1992,uitgevoerd,10
1992,toepassing,10
1992,openbaar,10
1992,financieel,10
1992,vervullen,10
1992,toekomst,10
1992,bovendien,10
1992,31,10
1992,4,10
1992,verbetering,10
1992,uitgangspunten,10
1992,doelstellingen,10
1992,naast,10
1992,functie,10
1992,scholen,10
1992,jaren,9
1992,ons,9
1992,hervormingen,9
1992,noodzakelijk,9
1992,maar,9
1992,steden,9
1992,aantal,9
1992,evenwicht,9
1992,gebeuren,9
1992,europees,9
1992,akkoord,9
1992,één,9
1992,nu,9
1992,structurele,9
1992,vorming,9
1992,goede,9
1992,gezondheidsbeleid,9
1992,optimaal,9
1992,centraal,9
1992,advies,9
1992,kansarmen,9
1992,kansarme,9
