,words,count
0,de,1729
1,van,864
2,en,851
3,het,635
4,een,569
5,worden,391
6,in,389
7,voor,334
8,op,274
9,vlaamse,262
10,zal,244
11,te,220
12,met,209
13,,194
14,moet,151
15,is,132
16,regering,127
17,om,127
18,die,126
19,aan,123
20,dat,110
21,zijn,106
22,moeten,105
23,ook,99
24,vlaanderen,98
25,zullen,95
26,dit,82
27,beleid,81
28,er,74
29,tot,74
30,door,69
31,overheid,68
32,kunnen,66
33,meer,65
34,deze,61
35,nieuwe,60
36,naar,59
37,als,58
38,wordt,57
39,1,56
40,sociale,53
41,alle,53
42,zich,52
43,bij,50
44,verder,50
45,1995,48
46,—,48
47,10,46
48,tussen,46
49,onderwijs,45
50,bz,43
51,–,43
52,nr,43
53,hun,43
54,niet,41
55,kwaliteit,41
56,haar,39
57,kan,39
58,onze,38
59,binnen,38
60,maken,35
61,inzake,35
62,vlaams,33
63,hebben,31
64,beter,31
65,komen,31
66,gemeenten,31
67,gemeenschap,31
68,of,31
69,waar,30
70,daarbij,30
71,onderzoek,30
72,samenwerking,29
73,cultuur,29
74,basis,29
75,kader,29
76,via,29
77,autonomie,28
78,overleg,28
79,over,27
80,eigen,27
81,specifieke,27
82,initiatieven,26
83,ontwikkeling,26
84,dan,25
85,verschillende,25
86,aandacht,25
87,zij,24
88,middelen,24
89,werkgelegenheid,24
90,openbare,24
91,ruimtelijke,24
92,waarbij,23
93,maatregelen,23
94,scholen,23
95,parlement,22
96,we,22
97,wat,22
98,verantwoordelijkheid,22
99,zorg,22
100,wil,21
101,grote,21
102,vooral,21
103,heeft,21
104,nog,21
105,ze,21
106,economie,21
107,economische,21
108,andere,21
109,instellingen,21
110,duurzame,21
111,nodig,21
112,maatschappelijke,21
113,bedrijven,21
114,samenleving,20
115,maar,20
116,zoals,20
117,aanpak,20
118,eerste,19
119,federale,19
120,werken,19
121,krijgen,19
122,blijven,19
123,gemaakt,19
124,tegen,19
125,lokale,19
126,mogelijk,19
127,wij,18
128,alleen,18
129,ten,18
130,brussel,18
131,belangrijke,18
132,milieu,18
133,rol,18
134,zowel,18
135,werk,18
136,steeds,17
137,ons,17
138,daarom,17
139,goed,17
140,zo,17
141,vanuit,17
142,vlak,17
143,nodige,17
144,blijft,17
145,bijzondere,17
146,rekening,17
147,sectoren,17
148,inspanningen,16
149,uit,16
150,aanbod,16
151,wijze,16
152,doen,15
153,ruimte,15
154,stedelijke,15
