year,words,count
1992,de,2278
1992,van,1221
1992,en,918
1992,het,873
1992,,630
1992,een,609
1992,worden,514
1992,in,493
1992,zal,448
1992,vlaamse,398
1992,op,314
1992,voor,297
1992,te,294
1992,met,243
1992,regering,237
1992,aan,170
1992,zullen,144
1992,om,135
1992,die,131
1992,door,123
1992,beleid,115
1992,bij,100
1992,moet,95
1992,inzake,95
1992,dit,90
1992,1,88
1992,dat,83
1992,is,83
1992,tot,83
1992,zijn,79
1992,deze,70
1992,naar,69
1992,onderwijs,62
1992,als,61
1992,er,61
1992,meer,56
1992,dient,56
1992,wordt,54
1992,tussen,54
1992,vlaams,54
1992,raad,53
1992,haar,49
1992,gemeenschap,49
1992,1992,48
1992,alle,48
1992,ook,47
1992,10,46
1992,moeten,46
1992,basis,46
1992,sociale,45
1992,overheid,45
1992,vlaanderen,42
1992,nieuwe,42
1992,ten,39
1992,verder,39
1992,bz,38
1992,nr,38
1992,kader,38
1992,via,37
1992,aandacht,37
1992,zich,36
1992,overleg,35
1992,samenwerking,33
1992,burger,33
1992,middelen,33
1992,maken,32
1992,grote,32
1992,kunnen,32
1992,nationale,32
1992,bijzonder,32
1992,onderzoek,32
1992,binnen,32
1992,brussel,31
1992,vlak,30
1992,dienen,30
1992,uit,29
1992,bijzondere,29
1992,integratie,29
1992,bestaande,28
1992,onder,28
1992,heeft,27
1992,zowel,27
1992,hierbij,27
1992,kan,27
1992,maatregelen,27
1992,ter,26
1992,over,26
1992,werking,26
1992,tevens,26
1992,economische,25
1992,betrokken,25
1992,nodige,25
1992,oog,25
1992,mogelijk,24
1992,financiële,24
1992,europese,24
1992,zij,24
1992,maatschappelijke,24
1992,specifieke,24
1992,decreet,24
1995,de,1729
1995,van,864
1995,en,851
1995,het,635
1995,een,569
1995,worden,391
1995,in,389
1995,voor,334
1995,op,274
1995,vlaamse,262
1995,zal,244
1995,te,220
1995,met,209
1995,,194
1995,moet,151
1995,is,132
1995,regering,127
1995,om,127
1995,die,126
1995,aan,123
1995,dat,110
1995,zijn,106
1995,moeten,105
1995,ook,99
1995,vlaanderen,98
1995,zullen,95
1995,dit,82
1995,beleid,81
1995,er,74
1995,tot,74
1995,door,69
1995,overheid,68
1995,kunnen,66
1995,meer,65
1995,deze,61
1995,nieuwe,60
1995,naar,59
1995,als,58
1995,wordt,57
1995,1,56
1995,sociale,53
1995,alle,53
1995,zich,52
1995,bij,50
1995,verder,50
1995,1995,48
1995,—,48
1995,10,46
1995,tussen,46
1995,onderwijs,45
1995,bz,43
1995,–,43
1995,nr,43
1995,hun,43
1995,niet,41
1995,kwaliteit,41
1995,haar,39
1995,kan,39
1995,onze,38
1995,binnen,38
1995,maken,35
1995,inzake,35
1995,vlaams,33
1995,hebben,31
1995,beter,31
1995,komen,31
1995,gemeenten,31
1995,gemeenschap,31
1995,of,31
1995,waar,30
1995,daarbij,30
1995,onderzoek,30
1995,samenwerking,29
1995,cultuur,29
1995,basis,29
1995,kader,29
1995,via,29
1995,autonomie,28
1995,overleg,28
1995,over,27
1995,eigen,27
1995,specifieke,27
1995,initiatieven,26
1995,ontwikkeling,26
1995,dan,25
1995,verschillende,25
1995,aandacht,25
1995,zij,24
1995,middelen,24
1995,werkgelegenheid,24
1995,openbare,24
1995,ruimtelijke,24
1995,waarbij,23
1995,maatregelen,23
1995,scholen,23
1995,parlement,22
1995,we,22
1995,wat,22
1995,verantwoordelijkheid,22
1995,zorg,22
1999,de,2767
1999,van,1394
1999,het,1191
1999,en,1154
1999,een,894
1999,,748
1999,in,561
1999,worden,520
1999,voor,491
1999,op,418
1999,vlaamse,332
1999,te,315
1999,met,291
1999,moet,288
1999,dat,287
1999,die,274
1999,–,242
1999,wordt,225
1999,is,225
1999,aan,223
1999,om,208
1999,regering,187
1999,zal,176
1999,moeten,156
1999,ook,153
1999,zijn,143
1999,er,134
1999,door,130
1999,tot,126
1999,meer,113
1999,naar,106
1999,beleid,103
1999,niet,102
1999,als,101
1999,overheid,100
1999,onderwijs,99
1999,bij,98
1999,kunnen,96
1999,1,85
1999,kan,85
1999,vlaanderen,81
1999,nieuwe,79
1999,tussen,74
1999,of,71
1999,inzake,67
1999,1999,66
1999,31,64
1999,stuk,63
1999,nr,63
1999,deze,62
1999,binnen,61
1999,alle,60
1999,sociale,60
1999,vlaams,56
1999,hun,54
1999,middelen,54
1999,maar,52
1999,over,52
1999,uit,51
1999,gemeenten,51
1999,verder,51
1999,onder,50
1999,basis,50
1999,maken,49
1999,aandacht,49
1999,kader,49
1999,dit,47
1999,via,46
1999,heeft,45
1999,samenwerking,45
1999,mogelijk,44
1999,gemeenschap,44
1999,zich,43
1999,dan,43
1999,extra,43
1999,federale,43
1999,daarbij,43
1999,onderzoek,43
1999,andere,41
1999,brussel,41
1999,verschillende,41
1999,zullen,40
1999,ontwikkeling,40
1999,ten,39
1999,lokale,39
1999,haar,38
1999,bestaande,38
1999,daartoe,37
1999,ze,36
1999,wij,36
1999,nodige,36
1999,zo,35
1999,krijgen,35
1999,waarbij,35
1999,nodig,34
1999,rol,34
1999,administratie,33
1999,gemaakt,32
1999,zoals,32
1999,jaar,31
2004,de,2830
2004,en,1793
2004,van,1612
2004,het,1112
2004,een,1001
2004,we,785
2004,in,696
2004,voor,676
2004,•,565
2004,op,456
2004,te,432
2004,met,408
2004,om,325
2004,aan,293
2004,vlaamse,256
2004,worden,213
2004,die,201
2004,dat,182
2004,is,165
2004,,161
2004,meer,147
2004,tot,145
2004,ook,142
2004,vlaanderen,130
2004,wordt,125
2004,overheid,119
2004,als,119
2004,of,116
2004,door,113
2004,sociale,112
2004,zijn,111
2004,naar,110
2004,beleid,108
2004,onderwijs,106
2004,uit,106
2004,moet,105
2004,wij,104
2004,bij,101
2004,zal,99
2004,deze,98
2004,alle,98
2004,hun,96
2004,regering,94
2004,tussen,91
2004,niet,89
2004,inzake,85
2004,er,79
2004,maken,78
