words,count
de,1729
van,864
en,851
het,635
een,569
worden,391
in,389
voor,334
op,274
vlaamse,262
zal,244
te,220
met,209
,194
moet,151
is,132
regering,127
om,127
die,126
aan,123
dat,110
zijn,106
moeten,105
ook,99
vlaanderen,98
zullen,95
dit,82
beleid,81
er,74
tot,74
door,69
overheid,68
kunnen,66
meer,65
deze,61
nieuwe,60
naar,59
als,58
wordt,57
1,56
sociale,53
alle,53
zich,52
bij,50
verder,50
1995,48
—,48
10,46
tussen,46
onderwijs,45
bz,43
–,43
nr,43
hun,43
niet,41
kwaliteit,41
haar,39
kan,39
onze,38
binnen,38
maken,35
inzake,35
vlaams,33
hebben,31
beter,31
komen,31
gemeenten,31
gemeenschap,31
of,31
waar,30
daarbij,30
onderzoek,30
samenwerking,29
cultuur,29
basis,29
kader,29
via,29
autonomie,28
overleg,28
over,27
eigen,27
specifieke,27
initiatieven,26
ontwikkeling,26
dan,25
verschillende,25
aandacht,25
zij,24
middelen,24
werkgelegenheid,24
openbare,24
ruimtelijke,24
waarbij,23
maatregelen,23
scholen,23
parlement,22
we,22
wat,22
verantwoordelijkheid,22
zorg,22
